Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 15734.4, 14028, 1, 154.16, 451.3, 
5, -194.7, 16247.9, 14028, 741.5, 152.93, 455.4, 
10, -145.4, 16731.8, 15714, 714.7, 155.32, 474.4, 
15, -126.5, 17213.6, 15714, 715.3, 157.56, 489.4, 
20, -71.9, 17660.5, 15714, 676.9, 160.38, 497.7, 
25, -89.8, 18079.7, 15714, 701.8, 163.08, 499.7, 
30, -82.2, 18481.7, 15714, 702.2, 165.61, 500.3, 
